full_path,size_bytes,extension,label,file_uuid
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Sampie_70095_N15_06_W02_56_village_03_2011_JH.JPG,2940086,jpg,decompressed,c18407a2_Fulfulde_Sampie_70095_N15_06_W02_56_village_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_SareSoma_70096_N14_45_W03_55_village_04_2011_JH.JPG,3041556,jpg,decompressed,0de3cbae_Fulfulde_SareSoma_70096_N14_45_W03_55_village_04_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Sassouru_70097_N14_38_W04_00_village_03_2012_MD_JH.JPG,1973572,jpg,decompressed,261862d1_Fulfulde_Sassouru_70097_N14_38_W04_00_village_03_2012_MD_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_SegueBougie_70098_N14_38_W03_55_village_03_2012_MD_JH.JPG,2126216,jpg,decompressed,8cf3ea7f_Fulfulde_SegueBougie_70098_N14_38_W03_55_village_03_2012_MD_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Seguemara_Fulbe_70099_N14_31_W03_05_village_04_2011_JH.JPG,3445093,jpg,decompressed,beb64715_Fulfulde_Seguemara_Fulbe_70099_N14_31_W03_05_village_04_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Siguiri_70101_N15_09_W02_27_Gandamiya_mtn_behind_03_2011_JH.JPG,3075629,jpg,decompressed,27668766_Fulfulde_Siguiri_70101_N15_09_W02_27_Gandamiya_mtn_behind_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Sosari_aka_Sassari_70105_N14_35_W03_54_village_03_2012_MD_JH.JPG,1995657,jpg,decompressed,c718fdb9_Fulfulde_Sosari_aka_Sassari_70105_N14_35_W03_54_village_03_2012_MD_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Sougi_70107_N14_38_W03_57_village_03_2012_MD_JH.JPG,1769901,jpg,decompressed,77e09493_Fulfulde_Sougi_70107_N14_38_W03_57_village_03_2012_MD_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Tefewal_near_Sangou_70109_N14_40_W03_53_village_03_2012_MD_JH.JPG,1753336,jpg,decompressed,b85214bc_Fulfulde_Tefewal_near_Sangou_70109_N14_40_W03_53_village_03_2012_MD_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Tialeggel_near_Koro_70111_N14_09_W03_09_village_05_2011_JH.JPG,3122261,jpg,decompressed,0469c51d_Fulfulde_Tialeggel_near_Koro_70111_N14_09_W03_09_village_05_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Tiena_near_Zon_70112_N13_53_W03_07_village_05_2011_JH.JPG,3134870,jpg,decompressed,44c43a72_Fulfulde_Tiena_near_Zon_70112_N13_53_W03_07_village_05_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Tomborguel_near_Boudou_70113_N14_40_W03_52_village_03_2012_MD_JH.JPG,1898116,jpg,decompressed,419db46e_Fulfulde_Tomborguel_near_Boudou_70113_N14_40_W03_52_village_03_2012_MD_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Tombori_70114_N15_05_W02_56_village_03_2011_JH.JPG,3082109,jpg,decompressed,5245fe90_Fulfulde_Tombori_70114_N15_05_W02_56_village_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Touwa_70116_N15_13_W02_30_village_03_2011_JH.JPG,1550677,jpg,decompressed,b3823f79_Fulfulde_Touwa_70116_N15_13_W02_30_village_03_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Weliwarou_near_Toroli_70118_N13_54_W03_10_village_05_2011_JH.JPG,3050886,jpg,decompressed,5ddabe65_Fulfulde_Weliwarou_near_Toroli_70118_N13_54_W03_10_village_05_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Weloungara_70119_N14_41_W03_51_village_03_2012_MD_JH.JPG,1907702,jpg,decompressed,7a468e07_Fulfulde_Weloungara_70119_N14_41_W03_51_village_03_2012_MD_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_YadiangaPouloGoro_70121_N14_03_W03_11_village_05_2011_JH.JPG,3203323,jpg,decompressed,363b5147_Fulfulde_YadiangaPouloGoro_70121_N14_03_W03_11_village_05_2011_JH.JPG
/UMich/download/DeepBlueData_0g354f98q/Readme_CentralMali_GeographyPhotos.pdf,762012,pdf,decompressed,1f9087bf_Readme_CentralMali_GeographyPhotos.pdf
/UMich/download/DeepBlueData_0g354f98q/w_0g354f98q_metadata_report.txt,1036,txt,decompressed,73fff3e1_w_0g354f98q_metadata_report.txt
/UMich/download/DeepBlueData_0k225b245/README.md,1003,md,decompressed,abb9c884_README.md
/UMich/download/DeepBlueData_0k225b245/arrows_folding.zip,56861698,zip,compressed,d2e9ca2f_arrows_folding.zip
/UMich/download/DeepBlueData_0k225b245/bending_vs_variation.zip,113255248,zip,compressed,a2737998_bending_vs_variation.zip
/UMich/download/DeepBlueData_0k225b245/curved_triangle.zip,83239157,zip,compressed,4af377cd_curved_triangle.zip
/UMich/download/DeepBlueData_0k225b245/example_shapes.zip,175098538,zip,compressed,d8f043d2_example_shapes.zip
/UMich/download/DeepBlueData_0k225b245/nskT_vs_fakT.zip,83675120,zip,compressed,bf5db292_nskT_vs_fakT.zip
/UMich/download/DeepBlueData_0k225b245/stability.zip,203283155,zip,compressed,b69adeab_stability.zip
